Date,Open,High,Low,Close,Adj Close,Volume,monthly returns,mr%,,,
01-09-2002,916.070007,924.02002,800.200012,815.280029,815.280029,27723710000,-100.789978,-12.36262075,,,0.857350332
01-10-2002,815.280029,907.440002,768.630005,885.76001,885.76001,37856310000,70.479981,7.957006436,,,0.899482797
01-11-2002,885.76001,941.820007,872.049988,936.309998,936.309998,29200960000,50.549988,5.398851674,,,0.902343013
01-12-2002,936.309998,954.280029,869.450012,879.820007,879.820007,25993640000,-56.489991,-6.420630419,,,0.916863663
01-01-2003,879.820007,935.049988,840.340027,855.700012,855.700012,30749580000,-24.119995,-2.818744263,,,0.927700695
01-02-2003,855.700012,864.640015,806.289978,841.150024,841.150024,25235300000,-14.549988,-1.729773237,,,0.933674711
01-03-2003,841.150024,895.900024,788.900024,848.179993,848.179993,30080030000,7.029969,0.828829854,,,0.947420132
01-04-2003,848.179993,924.23999,847.849976,916.919983,916.919983,29669610000,68.73999,7.496836286,,,0.949516274
01-05-2003,916.919983,965.380005,902.830017,963.590027,963.590027,30952100000,46.670044,4.843350667,,,0.966085435
01-06-2003,963.590027,1015.330017,963.590027,974.5,974.5,31219400000,10.909973,1.119545716,,,0.96902538
01-07-2003,974.5,1015.409973,962.099976,990.309998,990.309998,31553200000,15.809998,1.596469594,,,0.989537051
01-08-2003,990.309998,1011.01001,960.840027,1008.01001,1008.01001,24881470000,17.700012,1.755936134,,,1.000662158
01-09-2003,1008.01001,1040.290039,990.359985,995.969971,995.969971,29940110000,-12.040039,-1.208875704,,,1.004818594
01-10-2003,995.969971,1053.790039,995.969971,1050.709961,1050.709961,32298500000,54.73999,5.209809751,,,1.029008837
01-11-2003,1050.709961,1063.650024,1031.199951,1058.199951,1058.199951,24463220000,7.48999,0.707804796,,,1.037486118
01-12-2003,1058.199951,1112.560059,1053.410034,1111.920044,1111.920044,27839130000,53.720093,4.831290999,,,1.045338233
